UnitedHealthcare139,Choice Plus139,PR139,Kazuma139,D139,Nakagawa139,MD139,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa139,Baldorioty 1909,Moca139,PR139,6761,80854359639,,Hospitalist139,18816745529,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA139,,NAKAGAWA139,Individual139,1439 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU139,HI139,96813-24159,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care139,1439 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A139
UnitedHealthcare140,Choice Plus140,PR140,Kazuma140,D140,Nakagawa140,MD140,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa140,Baldorioty 1910,Moca140,PR140,6761,80854359640,,Hospitalist140,18816745530,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA140,,NAKAGAWA140,Individual140,1440 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU140,HI140,96813-24160,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care140,1440 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A140
UnitedHealthcare141,Choice Plus141,PR141,Kazuma141,D141,Nakagawa141,MD141,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa141,Baldorioty 1911,Moca141,PR141,6761,80854359641,,Hospitalist141,18816745531,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA141,,NAKAGAWA141,Individual141,1441 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU141,HI141,96813-24161,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care141,1441 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A141
UnitedHealthcare142,Choice Plus142,PR142,Kazuma142,D142,Nakagawa142,MD142,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa142,Baldorioty 1912,Moca142,PR142,6761,80854359642,,Hospitalist142,18816745532,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA142,,NAKAGAWA142,Individual142,1442 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU142,HI142,96813-24162,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care142,1442 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A142
UnitedHealthcare143,Choice Plus143,PR143,Kazuma143,D143,Nakagawa143,MD143,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa143,Baldorioty 1913,Moca143,PR143,6761,80854359643,,Hospitalist143,18816745533,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA143,,NAKAGAWA143,Individual143,1443 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU143,HI143,96813-24163,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care143,1443 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A143
UnitedHealthcare144,Choice Plus144,PR144,Kazuma144,D144,Nakagawa144,MD144,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa144,Baldorioty 1914,Moca144,PR144,6761,80854359644,,Hospitalist144,18816745534,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA144,,NAKAGAWA144,Individual144,1444 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU144,HI144,96813-24164,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care144,1444 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A144
UnitedHealthcare145,Choice Plus145,PR145,Kazuma145,D145,Nakagawa145,MD145,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa145,Baldorioty 1915,Moca145,PR145,6761,80854359645,,Hospitalist145,18816745535,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA145,,NAKAGAWA145,Individual145,1445 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU145,HI145,96813-24165,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care145,1445 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A145
UnitedHealthcare146,Choice Plus146,PR146,Kazuma146,D146,Nakagawa146,MD146,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa146,Baldorioty 1916,Moca146,PR146,6761,80854359646,,Hospitalist146,18816745536,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA146,,NAKAGAWA146,Individual146,1446 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU146,HI146,96813-24166,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care146,1446 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A146
UnitedHealthcare147,Choice Plus147,PR147,Kazuma147,D147,Nakagawa147,MD147,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa147,Baldorioty 1917,Moca147,PR147,6761,80854359647,,Hospitalist147,18816745537,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA147,,NAKAGAWA147,Individual147,1447 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU147,HI147,96813-24167,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care147,1447 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A147
UnitedHealthcare148,Choice Plus148,PR148,Kazuma148,D148,Nakagawa148,MD148,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa148,Baldorioty 1918,Moca148,PR148,6761,80854359648,,Hospitalist148,18816745538,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA148,,NAKAGAWA148,Individual148,1448 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU148,HI148,96813-24168,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care148,1448 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A148
UnitedHealthcare149,Choice Plus149,PR149,Kazuma149,D149,Nakagawa149,MD149,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa149,Baldorioty 1919,Moca149,PR149,6761,80854359649,,Hospitalist149,18816745539,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA149,,NAKAGAWA149,Individual149,1449 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU149,HI149,96813-24169,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care149,1449 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A149
UnitedHealthcare150,Choice Plus150,PR150,Kazuma150,D150,Nakagawa150,MD150,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa150,Baldorioty 1920,Moca150,PR150,6761,80854359650,,Hospitalist150,18816745540,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA150,,NAKAGAWA150,Individual150,1450 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU150,HI150,96813-24170,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care150,1450 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A150
UnitedHealthcare151,Choice Plus151,PR151,Kazuma151,D151,Nakagawa151,MD151,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa151,Baldorioty 1921,Moca151,PR151,6761,80854359651,,Hospitalist151,18816745541,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA151,,NAKAGAWA151,Individual151,1451 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU151,HI151,96813-24171,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care151,1451 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A151
UnitedHealthcare152,Choice Plus152,PR152,Kazuma152,D152,Nakagawa152,MD152,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa152,Baldorioty 1922,Moca152,PR152,6761,80854359652,,Hospitalist152,18816745542,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA152,,NAKAGAWA152,Individual152,1452 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU152,HI152,96813-24172,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care152,1452 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A152
UnitedHealthcare153,Choice Plus153,PR153,Kazuma153,D153,Nakagawa153,MD153,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa153,Baldorioty 1923,Moca153,PR153,6761,80854359653,,Hospitalist153,18816745543,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA153,,NAKAGAWA153,Individual153,1453 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU153,HI153,96813-24173,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care153,1453 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A153
UnitedHealthcare154,Choice Plus154,PR154,Kazuma154,D154,Nakagawa154,MD154,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa154,Baldorioty 1924,Moca154,PR154,6761,80854359654,,Hospitalist154,18816745544,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA154,,NAKAGAWA154,Individual154,1454 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU154,HI154,96813-24174,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care154,1454 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A154
UnitedHealthcare155,Choice Plus155,PR155,Kazuma155,D155,Nakagawa155,MD155,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa155,Baldorioty 1925,Moca155,PR155,6761,80854359655,,Hospitalist155,18816745545,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA155,,NAKAGAWA155,Individual155,1455 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU155,HI155,96813-24175,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care155,1455 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A155
UnitedHealthcare156,Choice Plus156,PR156,Kazuma156,D156,Nakagawa156,MD156,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa156,Baldorioty 1926,Moca156,PR156,6761,80854359656,,Hospitalist156,18816745546,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA156,,NAKAGAWA156,Individual156,1456 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU156,HI156,96813-24176,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care156,1456 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A156
UnitedHealthcare157,Choice Plus157,PR157,Kazuma157,D157,Nakagawa157,MD157,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa157,Baldorioty 1927,Moca157,PR157,6761,80854359657,,Hospitalist157,18816745547,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA157,,NAKAGAWA157,Individual157,1457 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU157,HI157,96813-24177,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care157,1457 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A157
UnitedHealthcare158,Choice Plus158,PR158,Kazuma158,D158,Nakagawa158,MD158,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa158,Baldorioty 1928,Moca158,PR158,6761,80854359658,,Hospitalist158,18816745548,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA158,,NAKAGAWA158,Individual158,1458 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU158,HI158,96813-24178,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care158,1458 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A158
UnitedHealthcare159,Choice Plus159,PR159,Kazuma159,D159,Nakagawa159,MD159,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa159,Baldorioty 1929,Moca159,PR159,6761,80854359659,,Hospitalist159,18816745549,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA159,,NAKAGAWA159,Individual159,1459 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU159,HI159,96813-24179,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care159,1459 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A159
UnitedHealthcare160,Choice Plus160,PR160,Kazuma160,D160,Nakagawa160,MD160,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa160,Baldorioty 1930,Moca160,PR160,6761,80854359660,,Hospitalist160,18816745550,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA160,,NAKAGAWA160,Individual160,1460 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU160,HI160,96813-24180,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care160,1460 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A160
UnitedHealthcare161,Choice Plus161,PR161,Kazuma161,D161,Nakagawa161,MD161,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa161,Baldorioty 1931,Moca161,PR161,6761,80854359661,,Hospitalist161,18816745551,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA161,,NAKAGAWA161,Individual161,1461 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU161,HI161,96813-24181,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care161,1461 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A161
UnitedHealthcare162,Choice Plus162,PR162,Kazuma162,D162,Nakagawa162,MD162,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa162,Baldorioty 1932,Moca162,PR162,6761,80854359662,,Hospitalist162,18816745552,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA162,,NAKAGAWA162,Individual162,1462 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU162,HI162,96813-24182,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care162,1462 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A162
UnitedHealthcare163,Choice Plus163,PR163,Kazuma163,D163,Nakagawa163,MD163,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa163,Baldorioty 1933,Moca163,PR163,6761,80854359663,,Hospitalist163,18816745553,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA163,,NAKAGAWA163,Individual163,1463 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU163,HI163,96813-24183,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care163,1463 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A163
UnitedHealthcare164,Choice Plus164,PR164,Kazuma164,D164,Nakagawa164,MD164,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa164,Baldorioty 1934,Moca164,PR164,6761,80854359664,,Hospitalist164,18816745554,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA164,,NAKAGAWA164,Individual164,1464 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU164,HI164,96813-24184,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care164,1464 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A164
UnitedHealthcare165,Choice Plus165,PR165,Kazuma165,D165,Nakagawa165,MD165,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa165,Baldorioty 1935,Moca165,PR165,6761,80854359665,,Hospitalist165,18816745555,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA165,,NAKAGAWA165,Individual165,1465 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU165,HI165,96813-24185,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care165,1465 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A165
UnitedHealthcare166,Choice Plus166,PR166,Kazuma166,D166,Nakagawa166,MD166,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa166,Baldorioty 1936,Moca166,PR166,6761,80854359666,,Hospitalist166,18816745556,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA166,,NAKAGAWA166,Individual166,1466 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU166,HI166,96813-24186,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care166,1466 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A166
UnitedHealthcare167,Choice Plus167,PR167,Kazuma167,D167,Nakagawa167,MD167,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa167,Baldorioty 1937,Moca167,PR167,6761,80854359667,,Hospitalist167,18816745557,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA167,,NAKAGAWA167,Individual167,1467 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU167,HI167,96813-24187,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care167,1467 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A167
UnitedHealthcare168,Choice Plus168,PR168,Kazuma168,D168,Nakagawa168,MD168,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa168,Baldorioty 1938,Moca168,PR168,6761,80854359668,,Hospitalist168,18816745558,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA168,,NAKAGAWA168,Individual168,1468 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU168,HI168,96813-24188,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care168,1468 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A168
UnitedHealthcare169,Choice Plus169,PR169,Kazuma169,D169,Nakagawa169,MD169,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa169,Baldorioty 1939,Moca169,PR169,6761,80854359669,,Hospitalist169,18816745559,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA169,,NAKAGAWA169,Individual169,1469 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU169,HI169,96813-24189,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care169,1469 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A169
UnitedHealthcare170,Choice Plus170,PR170,Kazuma170,D170,Nakagawa170,MD170,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa170,Baldorioty 1940,Moca170,PR170,6761,80854359670,,Hospitalist170,18816745560,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA170,,NAKAGAWA170,Individual170,1470 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU170,HI170,96813-24190,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care170,1470 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A170
UnitedHealthcare171,Choice Plus171,PR171,Kazuma171,D171,Nakagawa171,MD171,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa171,Baldorioty 1941,Moca171,PR171,6761,80854359671,,Hospitalist171,18816745561,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA171,,NAKAGAWA171,Individual171,1471 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU171,HI171,96813-24191,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care171,1471 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A171
UnitedHealthcare172,Choice Plus172,PR172,Kazuma172,D172,Nakagawa172,MD172,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa172,Baldorioty 1942,Moca172,PR172,6761,80854359672,,Hospitalist172,18816745562,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA172,,NAKAGAWA172,Individual172,1472 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU172,HI172,96813-24192,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care172,1472 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A172
UnitedHealthcare173,Choice Plus173,PR173,Kazuma173,D173,Nakagawa173,MD173,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa173,Baldorioty 1943,Moca173,PR173,6761,80854359673,,Hospitalist173,18816745563,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA173,,NAKAGAWA173,Individual173,1473 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU173,HI173,96813-24193,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care173,1473 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A173
UnitedHealthcare174,Choice Plus174,PR174,Kazuma174,D174,Nakagawa174,MD174,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa174,Baldorioty 1944,Moca174,PR174,6761,80854359674,,Hospitalist174,18816745564,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA174,,NAKAGAWA174,Individual174,1474 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU174,HI174,96813-24194,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care174,1474 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A174
UnitedHealthcare175,Choice Plus175,PR175,Kazuma175,D175,Nakagawa175,MD175,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa175,Baldorioty 1945,Moca175,PR175,6761,80854359675,,Hospitalist175,18816745565,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA175,,NAKAGAWA175,Individual175,1475 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU175,HI175,96813-24195,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care175,1475 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A175
UnitedHealthcare176,Choice Plus176,PR176,Kazuma176,D176,Nakagawa176,MD176,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa176,Baldorioty 1946,Moca176,PR176,6761,80854359676,,Hospitalist176,18816745566,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA176,,NAKAGAWA176,Individual176,1476 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU176,HI176,96813-24196,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care176,1476 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A176
UnitedHealthcare177,Choice Plus177,PR177,Kazuma177,D177,Nakagawa177,MD177,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa177,Baldorioty 1947,Moca177,PR177,6761,80854359677,,Hospitalist177,18816745567,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA177,,NAKAGAWA177,Individual177,1477 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU177,HI177,96813-24197,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care177,1477 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A177
UnitedHealthcare178,Choice Plus178,PR178,Kazuma178,D178,Nakagawa178,MD178,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa178,Baldorioty 1948,Moca178,PR178,6761,80854359678,,Hospitalist178,18816745568,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA178,,NAKAGAWA178,Individual178,1478 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU178,HI178,96813-24198,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care178,1478 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A178
UnitedHealthcare179,Choice Plus179,PR179,Kazuma179,D179,Nakagawa179,MD179,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa179,Baldorioty 1949,Moca179,PR179,6761,80854359679,,Hospitalist179,18816745569,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA179,,NAKAGAWA179,Individual179,1479 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU179,HI179,96813-24199,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care179,1479 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A179
